,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Brand,Model,Submodel,Mileage_Value,Engine_CC,Power_bhp
1375,Bangalore,2016,36000,Petrol,Automatic,First,5.0,9.45,Honda,City,1.5 S AT,16.8,1497.0,118.0
1376,Delhi,2016,46000,Diesel,Manual,First,5.0,6.75,Maruti,Baleno,Alpha 1.3,27.39,1248.0,74.0
1377,Coimbatore,2017,73003,Diesel,Manual,First,5.0,7.75,Honda,City,i DTec V,26.0,1498.0,98.6
1378,Kochi,2014,46566,Diesel,Manual,First,5.0,4.4,Hyundai,i20,Era 1.4 CRDi,22.54,1396.0,88.76
1379,Jaipur,2015,41493,Diesel,Automatic,First,5.0,42.0,Mercedes-Benz,E-Class,2015-2017 E350 Edition E,13.0,2987.0,265.0
1380,Kochi,2014,103788,Diesel,Manual,First,5.0,5.67,Nissan,Terrano,XV 110 PS,19.01,1461.0,108.5
1381,Bangalore,2016,45000,Diesel,Automatic,First,5.0,11.5,Renault,Duster,110PS Diesel RxZ AMT,19.6,1461.0,108.45
1382,Pune,2009,120000,Petrol,Manual,First,5.0,1.69,Maruti,Wagon,R LXI Minor,18.9,998.0,67.1
1383,Jaipur,2009,97359,Diesel,Manual,Second,5.0,1.8,Hyundai,Getz,1.5 CRDi GVS,17.1,1493.0,110.0
1384,Mumbai,2016,62000,Petrol,Manual,First,5.0,3.2,Maruti,Ritz,LXi,18.5,1197.0,85.8
1385,Pune,2004,115000,Petrol,Manual,Second,-1.0,1.5,Honda,City,1.5 GXI,0.0,-1.0,-1.0
1386,Kochi,2019,18373,Diesel,Automatic,First,5.0,45.86,BMW,5,Series 520d Sport Line,22.48,1995.0,187.74
1387,Hyderabad,2016,60453,Petrol,Manual,First,5.0,5.1,Volkswagen,Polo,1.2 MPI Highline,16.47,1198.0,74.0
1388,Pune,2013,37000,Diesel,Manual,First,5.0,4.85,Maruti,Swift,VDI BSIV,17.8,1248.0,-1.0
1389,Mumbai,2010,69009,Petrol,Manual,Second,5.0,2.4,Ford,Figo,Petrol ZXI,15.6,1196.0,70.0
1390,Hyderabad,2013,30000,Diesel,Automatic,First,5.0,22.0,BMW,3,Series 320d Luxury Line,18.88,1995.0,184.0
1391,Delhi,2012,70707,Diesel,Manual,First,5.0,4.28,Hyundai,Verna,1.6 SX CRDi (O),22.32,1582.0,126.32
1392,Coimbatore,2015,64677,Diesel,Manual,First,5.0,5.67,Renault,Duster,85PS Diesel RxL,20.45,1461.0,83.8
1393,Bangalore,2018,3000,Petrol,Automatic,First,5.0,6.2,Hyundai,Grand,i10 1.2 Kappa Magna AT,18.9,1197.0,81.86
1394,Bangalore,2013,49000,Diesel,Automatic,Second,5.0,14.49,BMW,X1,sDrive20d,17.05,1995.0,184.0
1395,Pune,2010,71000,Diesel,Manual,First,5.0,3.0,Maruti,Ritz,VDi,21.1,1248.0,73.9
1396,Jaipur,2010,52000,Petrol,Manual,Second,5.0,2.25,Hyundai,i10,Era 1.1 iTech SE,19.81,1086.0,68.05
1397,Kochi,2016,35659,Diesel,Automatic,First,7.0,43.78,BMW,X5,2014-2019 xDrive 30d Design Pure Experience 7 Seater,15.97,2993.0,258.0
1398,Kochi,2019,5377,Petrol,Manual,First,5.0,11.45,Honda,City,V MT Exclusive,16.8,1497.0,116.3
1399,Delhi,2014,65000,Diesel,Automatic,First,7.0,10.5,Mahindra,Ssangyong,Rexton RX7,11.18,2696.0,184.0
1400,Coimbatore,2015,92708,Diesel,Manual,First,5.0,7.48,Ford,Ecosport,1.5 DV5 MT Titanium Optional,22.7,1498.0,89.84
1401,Coimbatore,2010,48105,Petrol,Manual,First,5.0,3.1,Maruti,Alto,LXi,19.7,796.0,46.3
1402,Mumbai,2011,46759,Petrol,Manual,First,5.0,2.55,Volkswagen,Polo,1.2 MPI Highline,16.47,1198.0,74.0
1403,Jaipur,2013,62000,Diesel,Manual,First,5.0,3.5,Volkswagen,Polo,Diesel Comfortline 1.2L,22.07,1199.0,73.9
1404,Kolkata,2012,35175,Diesel,Manual,First,5.0,2.59,Volkswagen,Polo,Diesel Highline 1.2L,22.07,1199.0,73.9
1405,Kolkata,2013,70000,Diesel,Manual,First,7.0,5.45,Maruti,Ertiga,ZDI,20.77,1248.0,88.8
1406,Kolkata,2017,30000,Diesel,Manual,First,5.0,6.0,Ford,EcoSport,1.5 TDCi Ambiente,22.77,1498.0,98.59
1407,Kolkata,2016,66618,Diesel,Automatic,First,7.0,15.49,Toyota,Innova,Crysta 2.8 ZX AT,11.36,2755.0,171.5
1408,Mumbai,2010,69300,Petrol,Automatic,Second,5.0,12.5,BMW,5,Series 523i Sedan,10.8,2497.0,150.0
1409,Kolkata,2017,148000,Diesel,Manual,First,5.0,4.75,Maruti,Swift,Dzire Tour LDI,23.4,1248.0,74.0
1410,Mumbai,2017,22000,Petrol,Manual,First,5.0,7.85,Ford,Ecosport,1.0 Ecoboost Platinum Edition,18.88,999.0,123.24
1411,Ahmedabad,2013,75000,Diesel,Manual,First,5.0,6.0,Hyundai,Verna,CRDi SX,16.8,1493.0,110.0
1412,Mumbai,2016,43706,Petrol,Manual,First,5.0,4.0,Tata,Zest,Revotron 1.2T XM,17.57,1193.0,88.7
1413,Mumbai,2011,42000,Diesel,Automatic,First,5.0,28.75,Audi,A7,2011-2015 3.0 TDI Quattro,14.4,2967.0,241.4
1414,Pune,2012,65000,Diesel,Manual,First,5.0,2.5,Tata,Indica,Vista Quadrajet VX,22.3,1248.0,74.0
1415,Delhi,2015,76128,Diesel,Manual,First,5.0,5.5,Maruti,Swift,Dzire VDI,26.59,1248.0,74.0
1416,Kolkata,2010,39852,Petrol,Manual,First,5.0,1.59,Fiat,Linea,Emotion,16.0,1368.0,90.0
1417,Mumbai,2017,18673,Petrol,Manual,First,5.0,6.22,Hyundai,i20,1.2 Spotz,18.6,1197.0,81.83
1418,Kolkata,2016,11583,Petrol,Manual,First,5.0,2.75,Hyundai,EON,Era Plus,21.1,814.0,55.2
1419,Chennai,2007,82000,Petrol,Manual,Second,5.0,1.35,Hyundai,Santro,Xing XL,0.0,1086.0,-1.0
1420,Pune,2017,50000,Diesel,Automatic,First,5.0,25.0,Mercedes-Benz,GLA,Class 200 CDI SPORT,17.9,2143.0,136.0
1421,Delhi,2014,77000,Petrol,Manual,First,5.0,2.8,Maruti,Celerio,VXI,23.1,998.0,67.04
1422,Mumbai,2014,54890,Petrol,Manual,Second,5.0,2.45,Chevrolet,Beat,LT,17.8,1199.0,76.8
1423,Pune,2016,21000,Petrol,Automatic,First,5.0,6.35,Honda,Jazz,1.2 V AT i VTEC Privilege,19.0,1199.0,88.7
1424,Mumbai,2009,58557,Diesel,Automatic,Third,5.0,8.0,BMW,3,Series 320d Highline,16.07,1995.0,181.0
1425,Bangalore,2014,70000,Diesel,Manual,First,5.0,8.25,Renault,Duster,110PS Diesel RxL,19.01,1461.0,108.45
1426,Mumbai,2017,16000,Petrol,Automatic,First,5.0,5.95,Ford,Figo,2015-2019 1.5P Titanium AT,17.01,1499.0,110.4
1427,Kochi,2018,8899,Diesel,Manual,First,7.0,19.92,Toyota,Innova,Crysta 2.4 VX MT,13.68,2393.0,147.8
1428,Kochi,2016,83629,Diesel,Manual,First,5.0,3.15,Chevrolet,Beat,Diesel LS,25.44,936.0,56.3
1429,Chennai,2014,35059,Petrol,Automatic,First,4.0,5.75,Volkswagen,Polo,GTI,17.21,1798.0,189.0
1430,Kochi,2018,30552,Diesel,Automatic,First,7.0,32.44,Ford,Endeavour,3.2 Trend AT 4X4,10.91,3198.0,197.2
1431,Kochi,2016,44875,Diesel,Automatic,Second,5.0,8.01,Hyundai,Verna,1.6 SX CRDI (O) AT,22.32,1582.0,126.32
1432,Coimbatore,2017,25095,Petrol,Manual,First,5.0,6.48,Ford,Figo,2015-2019 1.2P Titanium Opt MT,18.16,1196.0,86.8
1433,Jaipur,2007,59000,Petrol,Manual,First,4.0,0.75,Maruti,800,AC,16.1,796.0,37.0
1434,Kolkata,2014,36000,Diesel,Manual,First,5.0,5.0,Honda,City,i DTEC V,26.0,1498.0,98.6
1435,Mumbai,2012,37000,Diesel,Manual,First,7.0,7.75,Mahindra,XUV500,W8 2WD,16.0,2179.0,140.0
1436,Chennai,2010,90000,Diesel,Manual,First,5.0,2.6,Ford,Figo,Diesel ZXI,20.0,1399.0,68.0
1437,Pune,2018,17000,Petrol,Manual,First,5.0,9.2,Ford,EcoSport,1.5 Petrol Titanium,17.0,1497.0,121.36
1438,Mumbai,2015,42575,Petrol,Manual,First,5.0,5.05,Hyundai,i20,Asta 1.2,18.6,1197.0,81.83
1439,Hyderabad,2012,131000,Diesel,Manual,First,7.0,9.6,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,12.99,2494.0,100.0
1440,Mumbai,2013,74000,Diesel,Manual,First,5.0,5.5,Renault,Duster,85PS Diesel RxL Optional,20.46,1461.0,83.8
1441,Mumbai,2013,47234,Diesel,Manual,First,8.0,9.35,Toyota,Innova,2.5 VX (Diesel) 8 Seater,12.99,2494.0,100.6
1442,Delhi,2009,231673,Petrol,Manual,First,5.0,2.6,Honda,City,1.5 S MT,17.0,1497.0,118.0
1443,Hyderabad,2016,10000,Petrol,Manual,First,5.0,3.5,Maruti,Alto,K10 VXI,24.07,998.0,67.1
1444,Kochi,2016,49389,Petrol,Manual,First,5.0,4.26,Nissan,Micra,Active XL Petrol,19.49,1198.0,67.04
1445,Chennai,2016,12000,Petrol,Automatic,Second,5.0,4.25,Maruti,Celerio,VXI AT,23.1,998.0,67.04
1446,Hyderabad,2010,65000,Petrol,Manual,Second,5.0,11.75,Mercedes-Benz,New,C-Class 200 Kompressor,11.7,1796.0,178.0
1447,Chennai,2013,177000,Diesel,Manual,First,5.0,3.5,Ford,Fiesta,Diesel Style,23.5,1498.0,88.7
1448,Jaipur,2015,89000,Petrol,Manual,First,5.0,7.5,Hyundai,Verna,1.6 VTVT S,17.01,1591.0,121.3
1449,Chennai,2009,72000,Petrol,Automatic,Third,5.0,3.25,Hyundai,i20,1.4 Asta (AT),15.0,1396.0,100.0
1450,Chennai,2012,49000,Petrol,Manual,First,5.0,4.9,Maruti,Swift,Dzire VXi,17.5,1298.0,85.8
1451,Hyderabad,2014,51355,Diesel,Automatic,First,5.0,27.0,Mercedes-Benz,New,C-Class C 220CDIBE Avantgarde Command,14.84,2143.0,170.0
1452,Kochi,2017,13460,Petrol,Manual,First,5.0,8.91,Hyundai,Elite,i20 Petrol Asta,18.6,1197.0,81.86
1453,Kochi,2014,35642,Petrol,Automatic,First,5.0,6.69,Hyundai,Verna,1.6 VTVT EX AT,17.01,1591.0,121.4
1454,Kochi,2014,52895,Diesel,Manual,First,5.0,6.02,Chevrolet,Cruze,LTZ,17.3,1998.0,163.7
1455,Mumbai,2010,93000,Petrol,Manual,First,5.0,4.5,Toyota,Corolla,Altis 1.8 G,14.28,1798.0,138.03
1456,Pune,2011,70000,Petrol,Manual,First,5.0,2.0,Maruti,A-Star,Vxi,19.0,998.0,66.1
1457,Kolkata,2012,32048,Diesel,Manual,First,5.0,2.4,Nissan,Micra,Diesel XV Premium,23.08,1461.0,63.1
1458,Pune,2013,4700,Petrol,Manual,First,4.0,1.2,Tata,Nano,LX,25.4,624.0,37.48
1459,Delhi,2014,71800,Diesel,Manual,First,5.0,2.9,Maruti,Swift,Dzire Tour LDI,23.4,1248.0,74.0
1460,Coimbatore,2008,69078,Petrol,Manual,First,-1.0,40.88,Land,Rover,Range Rover Sport 2005 2012 Sport,0.0,-1.0,-1.0
1461,Ahmedabad,2016,45000,Diesel,Automatic,First,5.0,27.0,Audi,Q3,2.0 TDI Quattro,17.32,1968.0,184.0
1462,Chennai,2016,15388,Diesel,Manual,First,5.0,7.5,Honda,Amaze,VX i-DTEC,25.8,1498.0,98.6
1463,Mumbai,2004,98798,Petrol,Manual,First,5.0,1.5,Chevrolet,Optra,1.6 LS,14.7,1599.0,104.0
1464,Hyderabad,2016,43000,Diesel,Automatic,First,5.0,39.5,Audi,Q5,2.0 TDI Premium Plus,14.16,1968.0,174.3
1465,Hyderabad,2012,85112,Diesel,Manual,First,5.0,3.39,Maruti,Ritz,VDi,23.2,1248.0,73.94
1466,Kochi,2018,37804,Diesel,Manual,First,7.0,12.4,Mahindra,Scorpio,S6 7 Seater,15.4,2179.0,120.0
1467,Chennai,2014,45000,Diesel,Manual,First,5.0,6.85,Maruti,Ciaz,ZDi SHVS,28.09,1248.0,88.5
1468,Pune,2011,116000,Diesel,Manual,Second,5.0,5.75,Toyota,Corolla,Altis Aero D 4D J,21.43,1364.0,138.0
1469,Chennai,2015,100073,Diesel,Manual,Second,5.0,2.0,Tata,Indica,V2 eLS,25.0,1396.0,69.0
1470,Jaipur,2006,165000,Petrol,Manual,First,4.0,0.9,Maruti,800,Std BSIII,16.1,796.0,37.0
1471,Kolkata,2015,22000,Petrol,Manual,First,5.0,3.8,Volkswagen,Polo,1.2 MPI Highline,16.47,1198.0,74.0
1472,Delhi,2017,9500,Petrol,Automatic,First,5.0,16.35,Hyundai,Elantra,2.0 SX Option AT,14.62,1999.0,149.92
1473,Hyderabad,2012,152000,Diesel,Automatic,First,7.0,16.5,Toyota,Fortuner,4x2 4 Speed AT,11.5,2982.0,169.0
1474,Coimbatore,2019,17705,Petrol,Manual,First,5.0,8.7,Maruti,Baleno,Zeta 1.2,21.4,1197.0,83.1
1475,Mumbai,2016,12000,Petrol,Manual,First,5.0,6.1,Maruti,Baleno,Zeta 1.2,21.4,1197.0,83.1
1476,Hyderabad,2013,51000,Diesel,Automatic,First,5.0,21.94,Mini,Cooper,Countryman D,23.8,1998.0,112.0
1477,Chennai,2009,42000,Diesel,Automatic,Second,5.0,22.0,Mercedes-Benz,S,Class 2005 2013 320 CDI,13.0,2987.0,210.0
1478,Delhi,2015,51000,Petrol,Manual,First,5.0,2.65,Maruti,Alto,K10 LXI,20.92,998.0,67.1
1479,Kochi,2017,42527,Petrol,Manual,First,5.0,5.27,Maruti,Swift,VXI Optional,20.4,1197.0,81.8
1480,Kolkata,2014,45000,Diesel,Manual,First,5.0,2.48,Chevrolet,Sail,LT ABS,22.1,1248.0,74.0
1481,Kolkata,2011,70000,Diesel,Manual,First,8.0,6.0,Toyota,Innova,2.5 G (Diesel) 8 Seater BS IV,12.8,2494.0,102.0
1482,Mumbai,2009,92000,Diesel,Manual,First,7.0,8.9,Toyota,Fortuner,3.0 Diesel,11.5,2982.0,171.0
1483,Hyderabad,2012,57156,Diesel,Automatic,Second,5.0,18.0,BMW,3,Series 320d Sport Line,18.88,1995.0,184.0
1484,Coimbatore,2016,53211,Petrol,Manual,First,5.0,11.64,Skoda,Octavia,Ambition 1.4 TSI MT,16.8,1395.0,138.02
1485,Kolkata,2019,80000,Diesel,Manual,First,7.0,8.99,Toyota,Fortuner,3.0 Diesel,11.5,2982.0,171.0
1486,Bangalore,2009,74000,Diesel,Automatic,First,5.0,5.25,Volkswagen,Jetta,2007-2011 1.9 Highline TDI,15.5,1896.0,105.0
1487,Kolkata,2011,37000,Diesel,Manual,First,5.0,2.95,Hyundai,i20,1.4 CRDi Asta,23.0,1396.0,90.0
1488,Mumbai,2013,64000,Diesel,Manual,Second,5.0,2.65,Tata,Manza,Club Class Quadrajet90 LX,21.02,1248.0,88.76
1489,Pune,2013,57197,Petrol,Manual,First,5.0,4.0,Volkswagen,Vento,Petrol Highline,15.04,1598.0,103.6
1490,Chennai,2016,55000,Diesel,Automatic,First,5.0,12.5,Hyundai,Creta,1.6 SX Automatic Diesel,17.6,1582.0,126.2
1491,Mumbai,2014,33000,Petrol,Manual,First,5.0,3.25,Maruti,Ritz,VXI,21.1,1197.0,85.8
1492,Delhi,2008,70000,Petrol,Manual,First,5.0,4.0,Honda,CR-V,2.0L 2WD MT,13.1,1997.0,141.1
1493,Delhi,2012,75000,Diesel,Manual,Second,7.0,6.25,Mahindra,XUV500,W8 2WD,15.1,2179.0,140.0
1494,Jaipur,2016,58095,Diesel,Manual,First,5.0,5.8,Volkswagen,Ameo,1.5 TDI Comfortline,21.66,1498.0,108.62
1495,Kolkata,2015,7445,Petrol,Manual,First,5.0,5.0,Tata,Zest,Revotron 1.2 XT,17.57,1193.0,88.7
1496,Kochi,2016,17652,Diesel,Automatic,First,5.0,58.73,Jaguar,XJ,3.0L Portfolio LWB,12.9,2993.0,270.88
1497,Kochi,2018,28321,Petrol,Automatic,First,5.0,17.49,Toyota,Corolla,Altis 1.8 VL CVT,14.28,1798.0,138.03
1498,Pune,2011,69000,Petrol,Manual,Second,5.0,1.95,Maruti,A-Star,Vxi,19.0,998.0,66.1
1499,Mumbai,2007,80000,Petrol,Automatic,First,5.0,3.0,Honda,Accord,VTi-L (AT),11.1,2354.0,142.0
1500,Delhi,2014,42365,Petrol,Manual,First,5.0,5.5,Hyundai,i20,Asta (o),17.0,1197.0,80.0
1501,Delhi,2013,123000,Diesel,Automatic,First,7.0,16.5,Toyota,Fortuner,4x2 AT,12.55,2982.0,168.5
1502,Mumbai,2011,40000,Petrol,Automatic,Second,5.0,14.5,Mercedes-Benz,New,C-Class C 200 CGI Avantgarde,11.74,1796.0,186.0
1503,Hyderabad,2016,30112,Diesel,Manual,First,5.0,7.79,Maruti,Baleno,Alpha 1.3,27.39,1248.0,74.0
1504,Kochi,2017,43775,Diesel,Manual,First,7.0,8.27,Maruti,Ertiga,VDI,20.77,1248.0,88.76
1505,Kochi,2019,26013,Diesel,Automatic,First,5.0,97.07,Land,Rover,Range Rover Sport SE,12.65,2993.0,255.0
1506,Mumbai,2012,56000,Petrol,Manual,First,5.0,2.15,Chevrolet,Optra,Magnum 1.6 LT ABS BS3,12.9,1598.0,102.5
1507,Hyderabad,2008,95000,Petrol,Automatic,Second,5.0,3.0,Honda,Civic,2006-2010 1.8 V AT,12.9,1799.0,130.0
1508,Coimbatore,2014,41089,Diesel,Automatic,First,5.0,28.79,BMW,X3,xDrive20d,16.09,1995.0,184.0
1509,Mumbai,2011,41988,Diesel,Automatic,First,5.0,5.45,Skoda,Laura,Ambition 2.0 TDI CR AT,20.0,1968.0,138.1
1510,Delhi,2013,72486,Diesel,Manual,First,5.0,3.95,Maruti,Swift,Dzire VDI,23.4,1248.0,74.0
1511,Pune,2013,92000,Diesel,Automatic,First,5.0,16.0,Volvo,V40,Cross Country D3,23.3,1984.0,150.0
1512,Delhi,2013,40000,Petrol,Manual,First,5.0,4.25,Maruti,Swift,Dzire ZXi,17.5,1298.0,85.8
1513,Bangalore,2014,56000,Diesel,Automatic,First,5.0,34.5,Land,Rover,Range Rover 2.2L Pure,12.7,2179.0,187.7
1514,Mumbai,2008,125000,Petrol,Automatic,Third,5.0,2.6,Honda,Accord,2.4 AT,11.7,2354.0,177.6
1515,Kochi,2017,29219,Diesel,Manual,First,8.0,13.48,Toyota,Innova,2.5 G (Diesel) 8 Seater,12.99,2494.0,100.6
1516,Hyderabad,2018,39927,Diesel,Manual,First,7.0,32.1,Toyota,Fortuner,4x4 MT,12.55,2982.0,168.5
1517,Kochi,2018,38593,Petrol,Manual,First,5.0,6.17,Honda,Jazz,1.2 E i VTEC,18.7,1199.0,88.7
1518,Kolkata,2015,32000,Petrol,Manual,First,5.0,5.5,Honda,City,1.5 V MT,17.0,1497.0,118.0
1519,Hyderabad,2017,28226,Diesel,Automatic,First,5.0,9.15,Maruti,Dzire,AMT ZDI Plus,28.4,1248.0,73.75
1520,Pune,2014,95000,Diesel,Manual,First,5.0,4.5,Nissan,Sunny,2011-2014 Diesel XL,21.64,1461.0,84.8
1521,Chennai,2014,194000,Diesel,Manual,First,8.0,10.5,Toyota,Innova,2.5 G (Diesel) 8 Seater,12.99,2494.0,100.6
1522,Coimbatore,2016,14821,Petrol,Manual,First,5.0,5.37,Honda,Brio,S MT,19.4,1198.0,86.8
1523,Bangalore,2012,52000,Petrol,Manual,First,5.0,5.45,Volkswagen,Vento,Petrol Trendline,15.04,1598.0,103.6
1524,Mumbai,2016,33000,Diesel,Manual,First,7.0,9.25,Mahindra,XUV500,W4,16.0,2179.0,140.0
1525,Chennai,2016,29200,Diesel,Manual,First,5.0,7.7,Ford,EcoSport,1.5 Diesel Titanium Plus,23.0,1498.0,98.96
1526,Hyderabad,2012,99754,Diesel,Manual,First,5.0,7.99,Skoda,Yeti,Ambition 4X2,17.72,1968.0,108.49
1527,Chennai,2012,49000,Petrol,Manual,First,5.0,3.0,Hyundai,i10,Sportz,20.36,1197.0,78.9
1528,Hyderabad,2005,299322,Diesel,Manual,First,8.0,4.0,Toyota,Innova,2.5 G (Diesel) 8 Seater BS IV,12.8,2494.0,102.0
1529,Coimbatore,2018,38310,Diesel,Manual,First,5.0,6.69,Tata,Zest,Quadrajet 1.3 XT,20.65,1248.0,88.7
1530,Delhi,2014,56000,Diesel,Manual,First,5.0,4.25,Maruti,Swift,VDI,22.9,1248.0,74.0
1531,Kolkata,2017,31300,Diesel,Automatic,First,5.0,10.5,Skoda,Rapid,1.5 TDI AT Style,21.72,1498.0,108.4
1532,Coimbatore,2019,11241,Diesel,Manual,First,8.0,22.55,Toyota,Innova,Crysta 2.4 VX MT 8S,13.68,2393.0,147.8
1533,Pune,2014,48000,Petrol,Manual,Second,5.0,5.2,Hyundai,Verna,1.6 SX VTVT,17.01,1591.0,121.3
1534,Coimbatore,2019,23882,Petrol,Manual,First,5.0,11.87,Honda,City,i VTEC VX Option,17.4,1497.0,117.3
1535,Hyderabad,2014,65000,Diesel,Manual,First,5.0,6.99,Honda,City,i DTEC SV,26.0,1498.0,98.6
1536,Jaipur,2011,50000,Diesel,Manual,First,5.0,5.0,Volkswagen,Vento,Diesel Highline,20.54,1598.0,103.6
1537,Chennai,2014,25000,Diesel,Automatic,First,5.0,44.0,Audi,Q5,2008-2012 3.0 TDI,12.19,2967.0,236.0
1538,Chennai,2015,21000,Petrol,Manual,First,5.0,2.79,Maruti,Alto,800 LXI,22.74,796.0,47.3
1539,Pune,2012,148000,Diesel,Manual,Second,5.0,2.9,Tata,Manza,ELAN Quadrajet BS IV,21.12,1248.0,88.8
1540,Delhi,2016,68000,Petrol,Manual,First,5.0,9.85,Hyundai,Creta,1.6 SX Plus Dual Tone Petrol,15.29,1591.0,121.3
1541,Bangalore,2014,52000,Diesel,Automatic,First,7.0,49.0,Mercedes-Benz,GL-Class,2007 2012 350 CDI Luxury,12.0,2987.0,224.0
1542,Jaipur,2016,19000,Diesel,Manual,First,6.0,9.25,Mahindra,Thar,CRDe,16.55,2498.0,105.0
1543,Mumbai,2011,74000,Diesel,Manual,Second,5.0,3.75,Hyundai,Verna,1.6 CRDI,22.32,1582.0,126.3
1544,Coimbatore,2017,30279,Diesel,Manual,First,5.0,7.29,Ford,Aspire,Titanium Diesel,26.1,1498.0,99.0
1545,Mumbai,2016,20000,Diesel,Automatic,First,4.0,23.5,Mini,Cooper,3 DOOR D,20.7,1496.0,113.98
1546,Hyderabad,2013,34834,Petrol,Manual,First,5.0,2.6,Maruti,Omni,8 Seater BSIV,14.0,796.0,35.0
1547,Pune,2015,90000,Diesel,Manual,Second,5.0,3.1,Mahindra,Verito,1.5 D4 BSIV,21.03,1461.0,65.0
1548,Coimbatore,2016,38730,Diesel,Automatic,First,5.0,29.98,Mercedes-Benz,E-Class,2009-2013 E250 CDI Elegance,14.21,2143.0,203.0
1549,Kochi,2016,57390,Diesel,Manual,First,5.0,6.73,Renault,Duster,110PS Diesel RxZ,19.01,1461.0,108.45
1550,Kolkata,2016,100000,Diesel,Manual,First,5.0,3.5,Maruti,Swift,Dzire Tour LDI,23.4,1248.0,74.0
1551,Kolkata,2011,50000,Petrol,Manual,First,5.0,2.35,Volkswagen,Polo,Petrol Highline 1.2L,16.47,1198.0,73.9
1552,Coimbatore,2017,64961,Diesel,Manual,First,7.0,16.13,Mahindra,XUV500,W10 2WD,16.0,2179.0,140.0
1553,Coimbatore,2014,72465,Petrol,Manual,First,5.0,5.9,Volkswagen,Polo,1.2 MPI Highline,16.47,1198.0,74.0
1554,Hyderabad,2012,68776,Petrol,Manual,First,5.0,3.9,Maruti,Ritz,VXI,21.1,1197.0,85.8
1555,Pune,2005,150000,Petrol,Manual,First,5.0,1.5,Chevrolet,Optra,1.6 Elite,14.7,1598.0,-1.0
1556,Delhi,2012,68000,Diesel,Manual,First,7.0,6.95,Toyota,Innova,2.5 GX 7 STR BSIV,12.8,2494.0,102.0
1557,Delhi,2015,33000,Diesel,Manual,First,5.0,7.0,Honda,City,i DTec SV,26.0,1498.0,98.6
1558,Coimbatore,2017,22389,Petrol,Manual,First,5.0,7.23,Volkswagen,Ameo,1.2 MPI Highline,17.0,1198.0,73.75
1559,Mumbai,2012,90000,Diesel,Manual,First,5.0,3.81,Maruti,SX4,ZDI Leather,21.5,1248.0,88.8
1560,Chennai,2012,42000,Petrol,Manual,Third,5.0,4.5,Maruti,Swift,ZXI,18.6,1197.0,85.8
1561,Pune,2017,38767,Diesel,Manual,First,5.0,12.6,Hyundai,Creta,1.6 CRDi SX,19.67,1582.0,126.2
1562,Bangalore,2015,21000,Diesel,Automatic,First,7.0,48.0,Audi,Q7,35 TDI Quattro Technology,12.07,2967.0,241.4
1563,Coimbatore,2010,59136,Petrol,Manual,First,5.0,2.96,Maruti,Alto,LXi BSIII,19.7,796.0,46.3
1564,Kolkata,2014,36000,Diesel,Manual,First,5.0,3.25,Honda,Amaze,SX i-DTEC,25.8,1498.0,98.6
1565,Chennai,2011,95000,Diesel,Automatic,Second,5.0,8.5,Volkswagen,Passat,Diesel Highline 2.0 TDI,18.33,1968.0,167.7
1566,Mumbai,2013,51000,Diesel,Automatic,First,5.0,8.75,Hyundai,Elantra,CRDi SX AT,19.5,1582.0,126.24
1567,Kochi,2011,36411,Petrol,Manual,First,5.0,3.08,Maruti,Wagon,R VXI BS IV,18.9,998.0,67.1
1568,Mumbai,2017,40000,Diesel,Automatic,First,7.0,41.5,Land,Rover,Discovery Sport TD4 HSE 7S,12.81,1999.0,148.31
1569,Pune,2016,27300,Petrol,Manual,First,5.0,7.0,Honda,City,i VTEC SV,17.8,1497.0,117.3
1570,Kochi,2011,29813,Petrol,Automatic,Second,5.0,11.5,Mercedes-Benz,New,C-Class C 200 Avantgarde Edition C,14.74,1991.0,181.03
1571,Pune,2011,71000,Petrol,Manual,First,5.0,2.6,Maruti,Wagon,R LX BS IV,20.51,998.0,67.04
1572,Kolkata,2014,32000,Diesel,Manual,First,5.0,4.3,Hyundai,Verna,1.6 CRDI,22.32,1582.0,126.3
1573,Mumbai,2017,19234,CNG,Manual,First,7.0,8.35,Maruti,Ertiga,VXI CNG,17.5,1373.0,80.46
1574,Jaipur,2017,50510,Diesel,Automatic,First,5.0,24.9,Volkswagen,Tiguan,2.0 TDI Highline,17.06,1968.0,141.0
1575,Pune,2011,102000,Diesel,Automatic,First,5.0,13.75,BMW,X1,sDrive 20d Exclusive,15.06,1995.0,177.0
1576,Kolkata,2014,42277,Diesel,Manual,First,5.0,3.85,Hyundai,Grand,i10 1.2 CRDi Sportz Option,24.0,1186.0,73.97
1577,Mumbai,2014,46000,Diesel,Automatic,First,5.0,23.25,Mercedes-Benz,E-Class,E250 CDI Avantgrade,13.0,2143.0,201.1
1578,Chennai,2012,35000,Diesel,Manual,First,7.0,7.0,Mahindra,Bolero,ZLX,13.6,2523.0,-1.0
1579,Bangalore,2015,50000,Petrol,Manual,First,5.0,5.75,Hyundai,Grand,i10 Asta Option,18.9,1197.0,82.0
1580,Mumbai,2008,62000,Petrol,Manual,Second,5.0,1.65,Hyundai,i10,Magna 1.2,20.36,1197.0,78.9
1581,Mumbai,2012,78000,Diesel,Manual,First,5.0,6.5,Volkswagen,Jetta,2012-2014 2.0L TDI Comfortline,19.33,1968.0,138.1
